Time_s,Ax_ms2,Ay_ms2,Az_ms2
3.178,-3.137,-6.045,6.695
3.189,-6.695,-6.083,9.067
3.2,-4.247,-4.859,7.652
3.212,-4.515,-5.815,7.652
3.223,-3.902,-6.121,7.843
3.233,-3.482,-5.395,8.034
3.244,-2.678,-5.127,7.269
3.255,-5.05,-6.351,7.269
3.267,-2.449,-4.591,7.154
3.279,-2.41,-4.821,7.154
3.289,-10.445,-6.887,10.942
3.3,0.497,-1.913,4.897
3.311,-7.001,-3.673,10.024
3.322,-4.744,-5.05,8.455
3.334,-3.482,-4.782,7.69
3.345,-0.689,-10.253,7.996
3.357,-2.143,-4.974,7.461
3.368,-1.53,-4.4,7.193
3.379,-0.459,-4.132,7.116
3.39,0.536,-4.897,6.887
3.401,0.421,-5.892,7.116
3.412,0.077,-5.854,7.307
3.423,-0.383,-5.854,7.422
3.434,-2.296,-5.088,8.073
3.445,-2.296,-6.045,8.57
3.456,-2.678,-7.269,9.029
3.467,-2.257,-6.619,8.302
3.477,-1.951,-6.313,8.264
3.489,-2.372,-6.236,8.379
3.5,-1.836,-6.81,8.417
3.51,-1.339,-6.734,8.073
3.521,-1.033,-6.772,8.264
3.533,-0.765,-6.542,7.728
3.544,-1.11,-5.777,7.805
3.555,-1.454,-5.356,7.996
3.566,-1.53,-5.012,7.652
3.578,-2.908,-5.777,8.417
3.588,-6.542,-4.208,10.406
3.599,-2.296,-2.41,7.958
3.61,-2.602,-5.356,7.231
3.621,-0.459,-6.734,7.499
3.632,1.339,-8.493,8.761
3.643,-0.153,-7.461,7.652
3.654,-1.569,-5.05,8.187
3.665,-2.066,-5.088,8.073
3.676,-1.798,-4.935,7.69
3.687,-1.416,-6.236,7.154
3.698,-1.416,-7.422,7.193
3.71,-1.033,-7.422,7.537
3.72,-0.765,-6.887,7.652
3.732,4.897,-6.619,7.881
3.742,0.574,-8.302,7.231
3.753,-2.525,-7.92,6.581
3.764,-0.727,-7.231,6.81
3.776,-0.918,-5.701,7.04
3.787,-0.497,-6.428,7.078
3.797,-0.612,-7.154,7.307
3.808,-0.536,-7.537,7.614
3.819,-0.306,-7.307,8.034
3.83,-0.191,-6.81,8.149
3.841,-0.115,-6.657,7.92
3.852,0.0,-6.772,7.805
3.863,-0.23,-7.001,7.92
3.874,-0.459,-7.728,7.307
3.885,-0.765,-7.231,7.422
3.897,-0.421,-6.542,7.728
3.907,-0.421,-6.734,6.887
3.919,-1.033,-6.772,6.848
3.93,-1.148,-6.619,6.887
3.941,-0.842,-6.16,6.695
3.952,-0.077,-6.657,6.198
3.963,-0.612,-6.542,6.81
3.973,-0.191,-6.389,6.695
3.984,-0.344,-5.968,6.581
3.996,-0.306,-5.624,6.887
4.007,-0.421,-5.127,6.963
4.017,0.0,-5.395,6.695
4.028,0.0,-6.198,6.772
4.039,-0.421,-6.619,6.657
4.05,-0.038,-6.887,6.389
4.062,-0.153,-7.537,6.045
4.072,-0.306,-7.767,5.93
4.083,-0.421,-7.92,5.815
4.094,-0.612,-7.652,5.701
4.106,-0.191,-7.652,5.777
4.117,-0.344,-8.532,5.739
4.128,-0.574,-8.417,5.662
4.139,-0.612,-7.537,5.395
4.15,-0.383,-7.193,5.471
4.161,-0.536,-7.001,5.395
4.172,-0.956,-7.422,5.701
4.183,-0.574,-7.575,6.198
4.194,-1.186,-7.499,6.121
4.205,-0.306,-7.307,6.007
4.216,-1.339,-7.154,6.198
4.227,-0.956,-6.963,5.892
4.238,-1.033,-6.504,5.892
4.249,-0.268,-6.657,5.815
4.26,-0.497,-7.04,5.815
4.27,-1.148,-7.69,6.007
4.281,-1.301,-7.461,6.542
4.293,-0.191,-6.963,7.346
4.304,-0.038,-6.81,7.231
4.315,-0.115,-7.154,6.925
4.326,-0.612,-7.422,6.389
4.338,-0.956,-7.652,6.313
4.348,-1.071,-7.384,6.083
4.359,-1.339,-7.422,6.236
4.37,-1.569,-6.963,6.198
4.381,-1.301,-6.236,6.504
4.393,-1.11,-6.198,7.04
4.403,-1.11,-6.734,7.614
4.414,-0.765,-6.657,7.805
4.425,-0.383,-6.351,8.034
4.436,-0.268,-6.81,8.034
4.447,-0.574,-7.346,7.767
4.458,-1.071,-7.346,7.499
4.469,-1.148,-7.04,7.461
4.481,-1.071,-6.81,7.614
4.492,-0.956,-7.078,7.958
4.502,-0.574,-7.384,8.34
4.514,-0.153,-7.461,8.532
4.524,-0.153,-7.461,8.493
4.536,-0.383,-7.575,8.417
4.546,-0.383,-7.996,8.685
4.557,-0.268,-8.57,8.8
4.568,-0.191,-8.914,8.914
4.579,-0.268,-8.608,8.761
4.59,-0.23,-7.92,8.685
4.601,-0.153,-7.843,8.876
4.612,-0.038,-7.881,8.953
4.623,-0.153,-7.728,8.838
4.634,-0.421,-6.963,8.417
4.645,-0.344,-6.351,8.226
4.656,-0.383,-5.93,7.958
4.668,-0.153,-5.777,7.652
4.679,-0.765,-6.083,7.537
4.69,-0.842,-6.121,7.384
4.701,-0.727,-5.968,7.384
4.712,-0.88,-5.892,6.657
4.723,-0.765,-6.083,6.657
4.734,-0.727,-5.968,7.04
4.744,-0.383,-5.701,7.307
4.756,0.038,-5.701,7.04
4.766,0.306,-6.198,6.045
4.777,-0.765,-7.307,5.892
4.788,-1.607,-7.04,5.854
4.799,-0.803,-6.772,5.777
4.81,-0.612,-7.269,5.815
4.821,-0.574,-7.154,5.739
4.832,-0.459,-6.466,5.854
4.843,-0.153,-6.389,5.739
4.854,-0.344,-7.231,5.471
4.865,-0.803,-7.881,5.356
4.876,-0.956,-7.996,5.586
4.887,-0.612,-7.537,5.395
4.898,-0.536,-7.728,5.395
4.909,-0.574,-8.34,5.356
4.92,-0.65,-8.493,5.165
4.931,-0.65,-8.493,5.203
4.942,-0.459,-8.455,5.203
4.953,-0.459,-8.685,5.203
4.964,-0.612,-8.838,5.203
4.975,-0.727,-8.532,5.127
4.986,-0.842,-7.958,5.012
4.997,-0.918,-7.958,5.165
5.008,-0.918,-7.537,5.395
5.019,-0.842,-7.269,5.471
5.029,-0.803,-7.269,5.586
5.041,-0.918,-7.231,5.701
5.052,-1.186,-6.083,6.121
5.064,-0.344,-7.461,6.274
5.074,-0.383,-6.925,6.121
5.085,-0.077,-7.307,6.351
5.096,-1.033,-6.772,6.351
5.107,-1.301,-6.16,6.274
5.118,-0.842,-6.274,6.504
5.129,-0.65,-6.466,6.695
5.14,-0.842,-6.619,7.04
5.151,-0.038,-5.701,7.69
5.162,0.0,-5.356,7.996
5.173,0.077,-5.624,7.881
5.184,0.038,-5.892,7.499
5.195,-0.038,-5.892,7.04
5.206,-0.383,-6.389,6.619
5.217,-0.765,-6.81,6.16
5.229,-0.956,-7.231,6.542
5.24,-0.765,-7.461,7.078
5.25,-0.459,-7.231,7.384
5.261,-0.191,-6.504,7.843
5.272,0.038,-6.083,8.302
5.283,0.153,-6.083,8.493
5.295,0.038,-6.236,8.647
5.306,-0.038,-6.389,8.685
5.316,-0.191,-7.728,8.685
5.327,-0.268,-8.187,8.379
5.338,-0.383,-7.881,8.111
5.349,-0.421,-7.154,8.149
5.36,-0.191,-6.389,8.379
5.371,0.153,-6.16,8.608
5.382,0.191,-6.772,8.8
5.393,0.153,-7.307,8.838
5.404,0.421,-6.16,9.488
5.415,0.918,-6.695,10.215
5.426,1.11,-6.887,10.521
5.437,1.301,-6.313,10.674
5.448,1.798,-5.586,10.598
5.459,1.798,-5.05,10.483
5.47,1.569,-4.935,10.215
5.481,1.186,-5.127,10.215
5.492,0.88,-5.088,10.1
5.503,0.995,-4.668,10.139
5.514,1.301,-4.017,10.062
5.525,1.224,-3.52,9.641
5.535,1.377,-3.673,9.259
5.547,1.11,-4.017,8.532
5.557,0.383,-5.127,8.417
5.568,0.038,-5.088,7.614
5.579,0.077,-5.241,7.231
5.591,0.153,-6.619,6.504
5.601,-0.115,-7.078,5.968
5.612,0.0,-7.231,5.968
5.623,0.077,-6.963,5.968
5.634,-0.803,-6.695,5.815
5.646,-1.186,-7.116,5.509
5.657,-0.918,-7.614,5.471
5.668,-0.191,-8.532,5.165
5.679,0.153,-7.958,5.395
