Time_s,Ax_ms2,Ay_ms2,Az_ms2
4.65,-0.202,-5.813,7.754
4.661,-0.663,-6.029,7.584
4.672,-0.799,-6.152,7.438
4.683,-0.662,-5.858,7.369
4.694,-0.901,-5.875,6.605
4.705,-0.802,-6.201,6.677
4.716,-0.69,-5.944,7.086
4.727,-0.394,-5.687,7.287
4.738,-0.044,-5.675,6.994
4.749,0.347,-6.207,5.957
4.76,-0.741,-7.28,5.858
4.771,-1.653,-7.067,5.834
4.782,-0.719,-6.745,5.712
4.793,-0.683,-7.21,5.817
4.804,-0.629,-7.128,5.776
4.816,-0.5,-6.468,5.795
4.827,-0.084,-6.297,5.707
4.838,-0.332,-7.187,5.453
4.849,-0.794,-7.871,5.356
4.86,-1.014,-8.018,5.582
4.871,-0.615,-7.588,5.455
4.882,-0.595,-7.712,5.395
4.893,-0.582,-8.319,5.403
4.904,-0.686,-8.542,5.218
4.915,-0.654,-8.473,5.217
4.926,-0.461,-8.434,5.24
4.937,-0.377,-8.592,5.233
4.948,-0.56,-8.79,5.251
4.959,-0.736,-8.505,5.104
4.97,-0.835,-7.996,5.037
4.981,-0.876,-7.935,5.12
4.992,-0.96,-7.554,5.399
5.003,-0.823,-7.264,5.392
5.014,-0.79,-7.196,5.545
5.025,-0.836,-7.208,5.772
5.036,-1.186,-6.053,6.211
5.047,-0.356,-7.445,6.272
5.058,-0.349,-6.983,6.125
5.069,-0.091,-7.314,6.324
5.08,-1.134,-6.84,6.27
5.091,-1.243,-6.155,6.239
5.102,-0.898,-6.236,6.506
5.113,-0.603,-6.441,6.766
5.124,-0.918,-6.63,7.049
5.135,-0.042,-5.767,7.655
5.146,0.086,-5.338,8.016
5.157,0.138,-5.566,7.93
5.168,0.053,-5.93,7.436
5.179,-0.07,-5.848,7.117
5.19,-0.294,-6.431,6.65
5.202,-0.738,-6.792,6.14
5.213,-0.973,-7.246,6.54
5.224,-0.729,-7.418,7.04
5.235,-0.517,-7.25,7.255
5.246,-0.212,-6.476,7.887
5.257,0.002,-6.157,8.328
5.268,0.16,-6.118,8.589
5.279,-0.031,-6.305,8.524
5.29,0.019,-6.426,8.72
5.301,-0.193,-7.767,8.624
5.312,-0.292,-8.213,8.397
5.323,-0.318,-7.841,8.071
5.334,-0.397,-7.115,8.122
5.345,-0.251,-6.41,8.421
5.356,0.121,-6.036,8.591
5.367,0.225,-6.793,8.793
5.378,0.052,-7.2,8.822
5.389,0.532,-6.157,9.444
5.4,0.926,-6.683,10.149
5.411,1.166,-6.922,10.534
5.422,1.32,-6.365,10.653
5.433,1.772,-5.586,10.583
5.444,1.785,-5.1,10.449
5.455,1.567,-4.942,10.234
5.466,1.244,-5.032,10.242
5.477,0.964,-5.092,10.09
5.488,0.972,-4.701,10.158
5.499,1.371,-4.014,10.092
5.51,1.24,-3.553,9.644
5.521,1.355,-3.707,9.28
5.532,1.09,-3.969,8.593
5.543,0.346,-5.017,8.456
5.554,0.047,-5.037,7.634
5.565,0.12,-5.157,7.232
5.577,0.081,-6.637,6.441
5.588,-0.074,-7.19,5.972
5.599,0.027,-7.397,5.976
5.61,0.073,-6.91,5.955
5.621,-0.814,-6.673,5.837
5.632,-1.091,-7.142,5.52
5.643,-0.906,-7.575,5.415
5.654,-0.208,-8.411,5.132
5.665,0.166,-7.96,5.411
5.676,0.18,-7.54,5.247
5.687,0.126,-7.638,5.075
5.698,-0.344,-8.031,5.218
5.709,-0.3,-7.572,4.904
5.72,-0.187,-7.64,4.822
5.731,0.088,-7.89,4.879
5.742,-0.218,-8.487,4.582
